Day,Month,Year,Genotype,Protein C,Protein D,Treatment,nucleus_id,area [µm$^2$],volume[µm$^3$],extent,solidity,mean intensity Protein C,mean intensity Protein D,ch_0_PCA_1,ch_0_PCA_2,ch_0_PCA_3,ch_0_PCA_4,ch_0_PCA_5,ch_1_PCA_1,ch_1_PCA_2,ch_1_PCA_3,ch_1_PCA_4,ch_1_PCA_5,ch_2_PCA_1,ch_2_PCA_2,ch_2_PCA_3,ch_2_PCA_4,ch_2_PCA_5
15,3,90,WT,C,D,B,02-01,639.7606578515625,1326.9964371840001,0.529985119047619,0.9513400409580625,22.913519584444757,16.87743928120174,1.4500778354435737,-0.08348161550649258,0.04942249018431018,0.08266547188038112,-0.264380240495199,1.4341109375852488,-0.11698181425631314,0.09859141048190513,0.013606132410781088,-0.20391453545367022,1.4112874589239506,-0.03734921501901661,-0.310303629272593,-0.0013568669305832662,0.0137000235504848
15,3,90,WT,C,D,B,02-02,626.2210357734375,1294.6427873280004,0.5308887191240133,0.954709896047992,22.59938603223331,7.990262854950115,-0.6015732491712033,1.7610686214930358,-1.5280995713855903,-1.5717094267667084,0.22436933385439803,-0.6272833146049905,1.1059343245537285,-1.022524225000681,-1.2939878059917818,0.7290217816167792,-0.7681450791326379,-1.2356393387501543,-0.9435123608816532,-0.24396331937885818,-0.8811842676842672
15,3,90,WT,C,D,B,02-03,750.7248233203126,1681.4583054720003,0.526646438713191,0.9542891379431874,20.03733796210806,6.316837168076227,-0.6015732491712033,1.7610686214930358,-1.5280995713855903,-1.5717094267667084,0.22436933385439803,-0.6272833146049905,1.1059343245537285,-1.022524225000681,-1.2939878059917818,0.7290217816167792,-0.7681450791326379,-1.2356393387501543,-0.9435123608816532,-0.24396331937885818,-0.8811842676842672
15,3,90,WT,C,D,B,02-04,571.2859330664063,1108.4695776,0.5292338709677419,0.9415053536578933,26.43859943977591,12.486946778711484,1.4721934444263147,-0.10372556377438108,-0.048366584001246556,-0.03738453446655726,-0.21818896437379887,1.3993263641577436,-0.014527766978067373,-0.03817863470931982,0.12178853376297111,-0.19171295689192103,1.4047548348736152,-0.05407632617433874,0.08480714776055506,0.3481955242994603,-0.3420553179519613
15,3,90,WT,C,D,B,02-05,618.4471582265626,1271.6661070080002,0.5372687918142464,0.9530857302429488,24.364244555132338,9.28240062506104,-0.6763167963075793,0.9118032725663853,-0.08080294781509301,-0.6570284600842141,-1.5292968366475286,-0.5278985892180944,1.840710378538751,0.2751012368555708,0.4477700291784542,0.22218193616112797,-0.7401942772963462,-0.623167584070469,0.46608504958551605,-0.8246183743542423,-1.0613641868048393
15,3,90,WT,C,D,B,02-06,646.6964733281251,1343.390609088,0.5564043209876544,0.9508593028877852,24.98391346553876,8.077196875144455,-0.6763167963075793,0.9118032725663853,-0.08080294781509301,-0.6570284600842141,-1.5292968366475286,-0.5278985892180944,1.840710378538751,0.2751012368555708,0.4477700291784542,0.22218193616112797,-0.7401942772963462,-0.623167584070469,0.46608504958551605,-0.8246183743542423,-1.0613641868048393
15,3,90,WT,C,D,B,02-07,615.0727045546876,1252.5395731200003,0.5311389071757735,0.9518191685149355,25.137183936539415,18.32404561229549,1.4104976132180702,-0.06391432818517111,-0.034626280960754485,-0.10964171555625125,-0.1461742305745511,1.3768085303012425,0.0047630579576284915,-0.18208947323673413,0.04032422151322281,0.1840465446716465,1.4279830559026092,-0.15352330644526035,-0.048535732891191403,0.15234342619238034,-0.48064967330921116
15,3,90,WT,C,D,B,02-08,655.45810790625,1380.6500906880003,0.5504307783719549,0.9537966537966538,23.388566545225565,6.888274187019296,-0.5979200557163156,1.8336726851135146,-0.6295071549839251,-1.0203664029470767,0.8399790437280314,-0.6073141464839563,1.1290996818516152,-0.5377894784475902,-2.248725358979473,-0.26396693038853597,-0.7401942772963462,-0.623167584070469,0.46608504958551605,-0.8246183743542423,-1.0613641868048393
15,3,90,WT,C,D,B,02-09,644.5441584140625,1343.5769064960002,0.5194717887154862,0.9523306483560016,20.13130892956184,19.412506932889627,-0.5979200557163156,1.8336726851135146,-0.6295071549839251,-1.0203664029470767,0.8399790437280314,-0.6073141464839563,1.1290996818516152,-0.5377894784475902,-2.248725358979473,-0.26396693038853597,-0.7401942772963462,-0.623167584070469,0.46608504958551605,-0.8246183743542423,-1.0613641868048393
15,3,90,WT,C,D,B,02-10,664.620358359375,1420.9524299520003,0.5188662131519275,0.9563254900321813,19.343020714972468,6.116073769775369,1.3937760524928453,0.05899926498928895,0.14247270591976227,-0.2818433182411398,0.26042318613736604,1.375623008785043,-0.03545702959947971,-0.030662395865257524,-0.014280694991588004,-0.04097783274849197,1.4279830559026092,-0.15352330644526035,-0.048535732891191403,0.15234342619238034,-0.48064967330921116
15,3,90,WT,C,D,B,03-01,685.7670112734376,1463.0556441600002,0.5218855218855218,0.9541551919650089,24.821222410865875,7.333191850594227,-0.6993621162673151,0.878681284945479,1.239704046990198,-0.6538292283399012,-0.7188865152872915,-0.6461770595661274,0.9829253570585478,-1.5909121527076282,-0.5761595902344113,0.039135132941218786,-0.765866704487172,-0.31410012229646184,-0.8250126893318973,-3.9439868683426424,-0.6003387992837295
15,3,90,WT,C,D,B,03-02,673.72410909375,1439.023278528,0.5263002498296616,0.9537391447503807,25.278470633927416,8.257843179562421,-0.6993621162673151,0.878681284945479,1.239704046990198,-0.6538292283399012,-0.7188865152872915,-0.6461770595661274,0.9829253570585478,-1.5909121527076282,-0.5761595902344113,0.039135132941218786,-0.765866704487172,-0.31410012229646184,-0.8250126893318973,-3.9439868683426424,-0.6003387992837295
15,3,90,WT,C,D,B,03-03,612.7057630546875,1243.4730992640002,0.5112336601307189,0.9516205683870355,23.5123851378346,8.676188573711546,1.4388076256190936,-0.08331626779719283,-0.028283919818285867,-0.14192182559888195,-0.11564874179810657,1.3913445476358681,-0.005696415652364381,-0.11042591717892605,0.1488317405628788,-0.1613449782145677,1.427002976860449,-0.10964493684499549,-0.1615694211779949,0.09552781141434538,-0.1823429196461918
