Day,Month,Year,Genotype,Protein C,Protein D,Treatment,nucleus_id,area [µm$^2$],volume[µm$^3$],extent,solidity,Protein 1,Protein 2,ch_0_PCA_1,ch_0_PCA_2,ch_0_PCA_3,ch_0_PCA_4,ch_0_PCA_5,ch_0_PCA_6,ch_1_PCA_1,ch_1_PCA_2,ch_1_PCA_3,ch_1_PCA_4,ch_1_PCA_5,ch_1_PCA_6,ch_2_PCA_1,ch_2_PCA_2,ch_2_PCA_3,ch_2_PCA_4,ch_2_PCA_5,ch_2_PCA_6
15,3,90,WT,C,D,A+B,08-06,599.2465398046876,1155.292326144,0.5273242630385487,0.9397383441935647,23.7903676628682,7.768221887766072,0.702100504408352,-0.597057194948562,-0.5560347395248203,0.14152997637840617,0.7840766270390299,0.817689497454533,-0.15737025283205897,-1.1355499833035287,-0.004139839915365029,-0.6875581997012413,0.4207914310916056,-0.6311124895959717,-0.6606862521251812,0.10564421588095577,-0.1483945546909284,0.1049129757635233,0.08698133130323084,0.41498425746218903
15,3,90,WT,C,D,A+B,08-07,546.4060179960937,963.1575993600001,0.5128968253968254,0.9322594217707519,33.66428110896196,9.382720825274017,1.7075490482045397,-0.9958700400711412,1.4342095415061165,-1.7116737607572523,-1.1053613248036216,0.7551031530082069,1.0585704889081944,-1.446934112671324,0.9271672623069541,0.7851792279072505,0.49574108011568135,0.8600738031833988,-0.6506451106227322,0.13085356968900105,0.17168474719453675,-0.3604736540041588,0.19799476169187946,0.6254306620548041
15,3,90,WT,C,D,A+B,08-08,529.5357787500001,930.9281477760001,0.5257786195286195,0.9289255174123188,30.47141618304316,10.059168834634114,1.8761322394533848,-0.7745959394182037,0.3243279125476762,-0.7883247825074855,0.20692557622024582,-0.395052946693909,0.5935826776712471,-1.3650684440535288,1.1684033892344823,-0.8578663943498369,1.287180021411797,0.26403162765232463,-0.5894198801907391,0.08142724745067817,0.10657290608052702,0.044514567032046495,0.2316225474384122,0.879431972049564
15,3,90,WT,C,D,A+B,08-09,377.546618109375,593.5435418880002,0.5086206896551724,0.9357744272567065,40.5528353211969,17.19470600544047,1.7776638611088806,2.5635196181447806,0.6101948045980158,-1.2731288799371294,2.113153414332597,-2.612882787031994,1.9200510178581132,1.923221226808287,-2.8017421693861433,-0.3607757979884877,0.6087263009351888,-1.2749099288931673,0.18297067993794122,1.3952004755045837,1.3384325257717542,0.18857283933621813,-0.26279203736647316,-0.4949193466302845
15,3,90,WT,C,D,A+B,08-10,502.3902629882813,887.3345543040001,0.5094117647058823,0.9350215940321948,32.81888165721884,10.743299041220519,1.6786678053967232,0.06098185682621626,-0.22051614466206582,-0.0010173835211791256,1.6799725231453568,-2.1230219879446226,0.9844415872285209,-0.4745197049000126,-0.22270912888091057,-1.1776591603820372,0.6285813609205263,-2.052408019714912,-0.6101356807244005,0.008577778634322552,0.5322709700107575,-0.0502731334722448,0.24861451875934937,0.5974039600195169
15,3,90,WT,C,D,A+B,08-11,565.8458037890625,999.7960896000002,0.5303030303030303,0.9288104303680628,32.103478260869565,14.254223602484473,2.1053256168693797,-1.611109824605863,-0.12089055599375469,0.10161955461585157,0.9895821742922273,-1.4720288391558556,0.8445308263056274,-1.7839908739716293,1.8773801151012381,-0.5833432789587774,3.47506108376348,-0.44532230370793024,-0.0631071720587955,0.7652591912155875,0.45971246293841916,0.32130002880456066,-0.669538137780905,1.2126971711414558
15,3,90,WT,C,D,A+B,08-12,478.982680171875,800.4578630400001,0.552152495180981,0.9310892805547529,34.57401086113266,10.81590380139643,2.14142059437535,0.0695148050332673,0.010721698540595556,0.5451717502267142,1.9594385361864228,-1.7193027141059678,1.1187348728248512,-0.6004787446470249,1.1779572510770253,-1.3831835162636552,1.246981403438135,-2.0456786239030658,-0.4110468159020958,0.5400577989140642,0.35811566592489186,0.2417409363835085,-0.25120659229619,0.3626016440803894
15,3,90,WT,C,D,A+B,08-13,551.1642503554688,1027.6165025280002,0.5051282051282051,0.947169595329403,30.409535895576504,11.156272661348803,1.0602889851478465,-0.0771861421363076,-1.1502156880946068,0.23311888079812346,0.6237448956366887,-1.8410238410857962,1.119921757627268,-0.3898471934095544,-0.7497273920699317,0.466125482766252,-0.27455131635857394,-2.081894034438316,-0.37701189257913686,0.41027628734039034,0.3849220157139866,0.01978937906367842,-0.38275879111061073,0.3543757103942348
15,3,90,WT,C,D,A+B,08-14,588.1568231601563,1119.3369264000003,0.5155155155155156,0.9401731692050908,27.035672676837727,8.61858529819695,0.903361296734589,-0.529470885762486,-1.538066247726464,0.4259308617847494,0.2807135381155787,-0.6504974463738623,0.6513155266770488,-0.8138888747986672,-0.36016359568509076,0.3627111227063423,-0.41996666498423507,-0.9077011179538992,-0.5955913827026145,0.16606762982580978,0.1782928038986084,-0.4057693686058116,0.1964383555579169,0.41845338529085246
15,3,90,WT,C,D,A+B,08-15,522.7916570507813,957.5065779840002,0.5582346765142464,0.9426545210001834,31.476684609896882,10.210324923795318,0.9793892271880458,0.6446314877248063,-1.6051880057254675,0.21337428865189204,1.7433095620238848,-1.2479661713896824,0.7839578270972613,0.39935063459101644,-0.41937716409271986,-0.6929347072687324,0.27756952764127574,-2.045981010365515,-0.5470594170782297,0.23820155009753952,0.40679096076927007,0.055471887684805404,0.10321895128541722,0.1501383743014564
15,3,90,WT,C,D,A+B,08-16,588.5141768085938,1120.020016896,0.47988505747126436,0.9372758925323494,24.90214016411621,9.044133954313596,0.6019839819786159,-0.19230559896586394,0.43738463928170623,-0.36263377004897845,-1.960256606895712,0.49039979079276885,0.22713176350773853,-0.9993832434676434,-0.7968153363218747,-0.656754650092197,-0.8493387103557255,1.4318641705499098,-0.5451221584020204,0.11804374129369066,0.3697968839801379,0.25440029850720036,0.5809417214509135,0.21452012555321037
15,3,90,WT,C,D,A+B,08-17,553.3639240078126,1001.6590636800001,0.5359516214779373,0.9326934196831271,29.223186608803474,9.172597644141351,1.8786568933961965,-1.4160156823553418,0.01226597516045582,-0.0794508432787155,1.212091458968651,0.28272796124995414,0.3633421626556115,-1.6940754466108967,0.8915771364349654,0.7155297252401734,0.03520392981902344,-1.8119626647955436,-0.6832256697971576,0.03540936495273365,0.2106799623820804,-0.15047696136863786,0.20362934606536628,0.7893785911602984
